,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
clyde river,70.47,278.15,93,75,6.7
bethel,60.79,285.47,93,90,3.6
longkou,37.64,298.046,75,0,1.44
cape town,-33.93,283.85,66,40,6.2
butaritari,3.07,302.546,66,100,3.41
chuy,-33.69,287.046,87,40,2.44
bahia honda,22.9,301.646,79,5,9.81
dwarka,28.58,304.55,74,40,2.1
charters towers,-20.07,282.446,86,0,2.26
saskylakh,71.97,288.046,46,92,5.52
thompson,55.74,293.15,60,75,7.2
port macquarie,-31.43,276.92,75,0,1.5
bredasdorp,-34.53,281.47,81,77,3.6
faanui,-16.48,298.146,73,80,6.01
nikolskoye,59.7,289.74,88,90,4.0
ecoporanga,-18.37,289.246,82,51,2.74
puerto ayora,-0.74,296.32,73,40,8.7
coihaique,-45.58,275.2,98,90,2.1
ipixuna,-1.76,304.15,58,40,3.1
raudeberg,61.99,288.65,87,20,3.1
hilo,19.71,299.78,69,75,7.58
ilulissat,69.22,282.15,81,75,3.1
tarauaca,-8.16,303.546,54,78,0.74
broken hill,-31.97,278.15,65,0,2.1
rikitea,-23.12,292.646,64,96,6.74
busselton,-33.64,279.64,98,0,12.7
ushuaia,-54.81,277.71,60,40,7.7
albany,42.65,304.77,59,40,3.1
bara,10.41,295.246,93,100,1.8
kapaa,22.08,299.8,74,75,4.13
tuktoyaktuk,69.44,284.15,93,90,6.7
upington,-28.46,287.15,50,0,3.6
payo,-3.75,292.646,87,100,1.27
wajima,37.4,297.046,88,100,2.97
khanapur,15.64,294.746,94,100,1.71
norman wells,65.28,296.15,60,75,1.5
port alfred,-33.59,285.93,76,74,5.36
mar del plata,-46.43,279.646,43,0,9.55
samarai,-10.62,295.046,88,100,2.58
lancaster,40.04,306.73,62,20,3.1
punta arenas,-53.16,276.42,74,0,5.7
vaini,15.34,298.346,90,100,1.19
litovko,49.24,292.546,96,67,0.49
denpasar,-8.65,295.146,93,69,2.89
provideniya,64.42,286.846,73,100,3.14
jieshi,22.82,302.04,84,71,0.45
purpe,64.48,293.15,79,29,4.44
hithadhoo,-0.6,301.446,78,93,7.54
serro,-18.6,285.246,85,10,2.39
khatanga,71.98,287.746,57,86,3.01
xingcheng,40.62,293.146,92,36,0.9
huarmey,-10.07,289.946,83,2,5.04
kodiak,39.95,307.94,20,1,5.7
vanavara,60.35,285.646,52,100,5.06
voh,-20.95,292.146,67,10,2.1
finale ligure,44.17,294.59,73,0,1.0
qaanaaq,77.48,277.146,90,100,1.75
inirida,3.87,300.546,93,50,1.46
cherskiy,68.75,277.346,79,100,4.2
port elizabeth,39.31,306.77,59,1,4.1
pryazha,61.69,288.15,100,63,1.0
kieta,-6.22,300.646,74,100,3.44
hasaki,35.73,297.09,100,75,2.1
haines junction,60.75,290.846,56,68,3.67
port lincoln,-34.72,288.846,57,0,13.54
mitsamiouli,-11.38,296.15,78,20,1.0
jamestown,-33.21,282.546,46,0,5.25
narsaq,60.91,290.15,55,75,3.6
teacapan,22.54,302.746,66,0,4.67
cayenne,4.94,299.15,88,92,2.15
aklavik,68.22,288.8,72,75,3.6
kharp,66.82,286.146,90,28,2.05
copiapo,-27.37,291.15,59,0,3.6
the valley,18.22,302.04,70,20,5.1
